Company ID,Date,Levy Method,Filing Channel,Turnover
9913,2014-01-13 12:52:49,Audit-based levy,Online filing,36820.0
9913,2014-01-14 15:49:28,Audit-based levy,Online filing,36820.0
9913,2014-01-14 15:49:28,Regular fixed-rate levy,Online filing,786901.93
9913,2014-01-14 15:49:28,Audit-based levy,Online filing,105.02
9913,2014-01-14 15:49:28,Audit-based levy,Online filing,105.02
9913,2014-01-14 15:49:28,Audit-based levy,Online filing,105.02
28324,2014-01-15 13:26:40,Audit-based levy,Online filing,42600.0
28324,2014-01-15 13:26:40,Regular fixed-rate levy,Online filing,4058145.24
28324,2014-01-15 13:26:40,Audit-based levy,Online filing,5376.79
28324,2014-01-15 13:26:40,Audit-based levy,Online filing,2130.0
28324,2014-01-15 13:26:40,Audit-based levy,Online filing,5376.79
28324,2014-01-15 13:26:40,Audit-based levy,Online filing,2130.0
28324,2014-01-15 13:26:40,Audit-based levy,Online filing,5376.79
28324,2014-01-15 13:26:40,Audit-based levy,Online filing,2130.0
28324,2014-01-15 13:34:50,Audit-based levy,Online filing,26520.42
28324,2014-01-15 13:34:50,Audit-based levy,Online filing,5000.0
32356,2014-03-04 14:07:26,Regular fixed-amount levy,In-person hall filing,0.0
32356,2014-03-04 14:07:26,Audit-based levy,In-person hall filing,1500.0
32356,2014-03-04 14:07:26,Audit-based levy,In-person hall filing,1500.0
32356,2014-03-04 14:07:26,Audit-based levy,In-person hall filing,1500.0
32356,2014-03-04 14:07:26,Audit-based levy,In-person hall filing,0.0
32356,2014-03-04 14:07:26,Audit-based levy,In-person hall filing,750.0
32356,2014-03-04 14:07:26,Audit-based levy,In-person hall filing,150.0
32356,2014-03-04 14:07:26,Audit-based levy,In-person hall filing,105.0
33044,2014-01-08 14:50:43,Audit-based levy,Online filing,5600.0
42597,2014-01-14 15:13:06,Audit-based levy,Online filing,9421.13
42597,2014-01-14 15:13:06,Audit-based levy,Online filing,9421.13
42597,2014-01-14 15:13:06,Audit-based levy,Online filing,9421.13
42597,2014-01-14 15:15:00,Audit-based levy,Online filing,942113.4
59701,2014-01-09 11:02:41,Regular fixed-amount levy,In-person hall filing,800.0
59701,2014-01-09 11:02:41,Regular fixed-amount levy,In-person hall filing,800.0
59701,2014-01-09 11:02:41,Regular fixed-amount levy,In-person hall filing,800.0
59701,2014-01-09 11:02:41,Regular fixed-amount levy,In-person hall filing,6666.66
60964,2014-01-06 00:00:00,Regular fixed-amount levy,Online filing,600.0
60964,2014-01-06 00:00:00,Regular fixed-amount levy,Online filing,600.0
60964,2014-01-06 00:00:00,Regular fixed-amount levy,Online filing,20000.0
60964,2014-01-06 00:00:00,Regular fixed-amount levy,Online filing,600.0
61619,2014-01-09 00:00:00,Regular fixed-amount levy,Online filing,650.0
61619,2014-01-09 00:00:00,Regular fixed-amount levy,Online filing,650.0
61619,2014-01-09 00:00:00,Regular fixed-amount levy,Online filing,650.0
79841,2014-01-14 15:00:01,Audit-based levy,In-person hall filing,3500.0
100927,2014-01-13 22:54:30,Audit-based levy,Online filing,2400.0
110214,2014-01-11 12:18:00,Audit-based levy,Online filing,2500.0
115119,2014-01-13 11:17:28,Audit-based levy,Online filing,0.0
123498,2014-01-14 10:05:26,Regular fixed-amount levy,In-person hall filing,30000.0
123498,2014-01-14 10:05:26,Regular fixed-amount levy,In-person hall filing,900.0
123498,2014-01-14 10:05:26,Regular fixed-amount levy,In-person hall filing,900.0
123498,2014-01-14 10:05:26,Regular fixed-amount levy,In-person hall filing,900.0
159119,2014-01-02 09:21:59,Audit-based levy,In-person hall filing,6048000.0
